分类,关系链编码,主称呼,所有称呼(别名)
主要关系,"m,xs,d&o,h",表姐夫,表姐夫、姨表姐夫
主要关系,"m,xs,d&l",表妹,表妹、姨表妹
主要关系,"m,xs,d&l,h",表妹夫,表妹夫、姨表妹夫
主要关系,"m,xs,d",表姐妹,表姐妹、姨表姐妹
主要关系,"m,xs,d,h",表姐妹夫,表姐妹夫
主要关系,"m,xs,s,s",表侄,表侄、姨表侄
主要关系,"m,xs,s,s,w",表侄媳妇,表侄媳妇
主要关系,"m,xs,s,d",表侄女,表侄女、姨表侄女
主要关系,"m,xs,s,d,h",表侄女婿,表侄女婿
主要关系,"m,xs,d,s",表外甥,表外甥、姨表甥
主要关系,"m,xs,d,s,w",表外甥媳妇,表外甥媳妇
主要关系,"m,xs,d,d",表外甥女,表外甥女、姨表甥女
主要关系,"m,xs,d,d,h",表外甥女婿,表外甥女婿
主要关系,"f,xs,s&o",表哥,表哥、姑表兄、姑表哥
主要关系,"f,xs,s&o,w",表嫂,表嫂、姑表嫂
主要关系,"f,xs,s&l",表弟,表弟、姑表弟
主要关系,"f,xs,s&l,w",表弟媳,表弟媳、姑表弟媳
主要关系,"f,xs,s",表兄弟,表兄弟、姑表兄弟
主要关系,"f,xs,s,w",表兄弟媳,表兄弟媳
主要关系,"f,xs,d&o",表姐,表姐、姑表姐
主要关系,"f,xs,d&o,h",表姐夫,表姐夫、姑表姐夫
主要关系,"f,xs,d&l",表妹,表妹、姑表妹
主要关系,"f,xs,d&l,h",表妹夫,表妹夫、姑表妹夫
主要关系,"f,xs,d",表姐妹,表姐妹、姑表姐妹
主要关系,"f,xs,d,h",表姐妹夫,表姐妹夫
主要关系,"f,xs,s,s",表侄,表侄、姑表侄
主要关系,"f,xs,s,s,w",表侄媳妇,表侄媳妇
主要关系,"f,xs,s,d",表侄女,表侄女、姑表侄女
主要关系,"f,xs,s,d,h",表侄女婿,表侄女婿
主要关系,"f,xs,d,s",表外甥,表外甥、姑表甥
主要关系,"f,xs,d,s,w",表外甥媳妇,表外甥媳妇
主要关系,"f,xs,d,d",表外甥女,表外甥女、姑表甥女
主要关系,"f,xs,d,d,h",表外甥女婿,表外甥女婿
主要关系,"h,f,f,f",曾祖公父,曾祖公父、曾祖公、太公翁
主要关系,"h,f,f,m",曾祖婆母,曾祖婆母、曾祖婆、太奶亲
主要关系,"h,f,m,f",曾外祖公父,曾外祖公父、曾外祖公
主要关系,"h,f,m,m",曾外祖婆母,曾外祖婆母、曾外祖婆
主要关系,"h,m,f,f",外曾祖公父,外曾祖公父、外曾祖公
主要关系,"h,m,f,m",外曾祖婆母,外曾祖婆母、外曾祖婆
主要关系,"h,m,m,f",外曾外祖公父,外曾外祖公父、外曾外祖公
主要关系,"h,m,m,m",外曾外祖婆母,外曾外祖婆母、外曾外祖婆
主要关系,"h,f,f,f,ob",伯曾祖公父,伯曾祖公父、伯曾祖公、太伯翁
主要关系,"h,f,f,f,ob,w",伯曾祖婆母,伯曾祖婆母、伯曾祖婆、太姆婆
主要关系,"h,f,f,f,lb",叔曾祖公父,叔曾祖公父、叔曾祖公、太叔翁
主要关系,"h,f,f,f,lb,w",叔曾祖婆母,叔曾祖婆母、叔曾祖婆、太婶婆
主要关系,"h,f,f,f,xs",姑曾祖婆母,姑曾祖婆母、姑曾祖婆
主要关系,"h,f,f,f,xs,h",姑曾祖公父,姑曾祖公父、姑曾祖婆
主要关系,"h,f,f",祖公父,祖公父、祖公、祖公公、祖翁、奶公父
主要关系,"h,f,m",祖婆母,祖婆母、祖婆、祖婆婆、奶婆母
主要关系,"h,m,f",外祖公父,外祖公父、毑公父、外祖公、外祖公公、姥公父、姥公
主要关系,"h,m,m",外祖婆母,外祖婆母、毑婆母、外祖婆、外祖婆婆、姥婆母、姥婆
主要关系,"h,f",公公,公公、公父、家公、家爷、大官、老公公、老人公、大人公、公公爸、公爹、翁亲、君舅、老公爹、家官、老官、婆父、婆爹
主要关系,"h,m",婆婆,婆婆、婆母、家婆、家娘、大家、老婆婆、老人婆、大人婆、婆婆妈、婆妈、姑亲、君姑、婆母娘、婆子妈、阿姑
主要关系,"h,f,ob",伯公父,伯公父、伯公、伯翁、伯公公、伯祖、婆婆伯
主要关系,"h,f,ob,w",伯婆母,伯婆母、伯婆、姆婆、伯婆婆、伯姆、婆婆伯姆
主要关系,"h,f,lb",叔公父,叔公父、叔公、叔翁、叔公公、叔祖、婆婆叔
主要关系,"h,f,lb,w",叔婆母,叔婆母、叔婆、婶婆、婶婆婆、婶亲、婆婆婶子
主要关系,"h,f,xs",姑婆母,姑婆母、姑婆、姑婆婆、婆婆姑
主要关系,"h,f,xs,h",姑公父,姑公父、姑公、姑公公、婆婆姑夫
主要关系,"h,m,xb",舅公父,舅公父、舅公、舅公公
主要关系,"h,m,xb,w",舅婆母,舅婆母、舅婆、妗婆婆、舅婆婆
主要关系,"h,m,xs",姨婆母,姨婆母、姨婆、姨婆婆
主要关系,"h,m,xs,h",姨公父,姨公父、姨公、姨公公
主要关系,h,老公,老公、丈夫、先生、夫、男人、新郎、爱爷、夫亲、夫君、官人、汉子、老头子、郎君、相公、夫婿、良人、老公仔、爱人、老伴、那口子、配偶、伴侣、伉俪、卿卿
主要关系,"h,ob",大伯子,大伯子、大伯儿、大伯兄、伯子、伯仔、伯兄、阿伯、大伯爷、伯爷子、婿伯
主要关系,"h,ob,w",大婶子,大婶子、大婶儿、大叔兄妇、伯兄妇、伯嫂、伯妇、伯姆、姒妇、姒姆、大伯嫂、姆姆、大姆、大伯妇、大伯娘、姐妇、阿姆
主要关系,"h,lb",小叔子,小叔子、小叔儿、小叔弟、叔子、叔仔、叔弟、阿叔、叔郎、小郎
主要关系,"h,lb,w",小婶子,小婶子、小婶儿、小叔弟妇、叔弟妇、叔嫂、叔妇、叔姆、娣妇、娣姆、小叔妇、婶婶、小婶、小婶婶
主要关系,"h,xb,s",叔侄,叔侄
主要关系,"h,xb,d",叔侄女,叔侄女
主要关系,"h,os",大姑子,大姑子、大姑姐、大姑儿、大姑娘、姑姊、婆姐、婆婆姐、大娘姑
主要关系,"h,os,h",大姑夫,大姑夫、大姑姐夫、大亘子、婆姐夫、婆婆姐夫
主要关系,"h,ls",小姑子,小姑子、小姑妹、小姑儿、小姑娘、姑妹、婆妹、婆婆妹
主要关系,"h,ls,h",小姑夫,小姑夫、小姑妹夫、小亘子、婆妹夫、婆婆妹夫
主要关系,"h,xs",姑子,姑子、夫姑
主要关系,"h,xs,h",姑夫,姑夫、姑郎
主要关系,"h,xs,s",姑甥,姑甥
主要关系,"h,xs,d",姑甥女,姑甥女
主要关系,"w,f,f,f",曾祖岳父,曾祖岳父、曾祖丈人、太爷丈人、祖爷丈人
主要关系,"w,f,f,m",曾祖岳母,曾祖岳母、曾祖丈母、曾祖丈母娘、祖奶丈母娘、太奶丈母娘
主要关系,"w,f,m,f",曾外祖岳父,曾外祖岳父、曾外祖丈人、祖姥爷丈人、太姥爷丈
主要关系,"w,f,m,m",曾外祖岳母,曾外祖岳母、曾外祖丈母、曾外祖丈母娘、祖姥丈母娘、太姥丈母娘
主要关系,"w,m,f,f",外曾祖岳父,外曾祖岳父、外曾祖丈人、祖奶爷丈人、太奶爷丈人、祖姥爷丈人、太姥爷丈人
主要关系,"w,m,f,m",外曾祖岳母,外曾祖岳母、外曾祖丈母、太奶丈母娘、祖姥丈母娘、太姥丈母娘
主要关系,"w,m,m,f",外曾外祖岳父,外曾外祖岳父、外曾外祖丈人、祖姥爷丈人、太姥爷丈人
主要关系,"w,m,m,m",外曾外祖岳母,外曾外祖岳母、外曾外祖丈母、外曾外祖丈母娘、祖姥丈母娘、太姥丈母娘
主要关系,"w,f,f",祖岳父,祖岳父、太岳父、奶岳父、祖丈人、爷丈人、奶爷丈人、奶丈爷、奶丈人、老丈爷
主要关系,"w,f,m",祖岳母,祖岳母、太岳母、奶岳母、祖丈母、祖丈母娘、奶丈母娘、奶丈姥、奶丈母、老丈姥
主要关系,"w,f,ob",伯岳父,伯岳父
主要关系,"w,f,ob,w",伯岳母,伯岳母
主要关系,"w,f,lb",叔岳父,叔岳父
主要关系,"w,f,lb,w",叔岳母,叔岳母
主要关系,"w,f,f,xb,s&o",姻伯丈,姻伯丈
主要关系,"w,f,f,xb,s&o,w",姻姆,姻姆
主要关系,"w,f,f,xb,s&l",姻叔丈,姻叔丈
主要关系,"w,f,f,xb,s&l,w",姻婶,姻婶
主要关系,"w,m,f",外祖岳父,外祖岳父、毑岳父、外祖丈人爹、外祖丈人、外太岳父、姥岳父、姥丈爷、姥丈人、姥丈人爹、老丈爷、姥爷丈人
主要关系,"w,m,m",外祖岳母,外祖岳母、毑岳母、外祖丈母娘、外祖丈母、外太岳母、姥岳母、姥丈姥、姥丈母、姥丈母娘、老丈娘
主要关系,"w,f",岳父,岳父、丈人、老丈人、外父、泰山、外舅、老亲爷、丈人爹、老干爷、丈人公、丈母爷、丈爷、丈爷爹、丈父、岳老子、老丈杆子、岳丈、岳翁、妻公、妇翁、冰翁
主要关系,"w,m",岳母,岳母、丈母、老丈母、外母、泰水、外姑、老亲娘、丈人娘、老干娘、丈人婆、丈母娘、丈姥、丈姥娘、丈姆、岳母娘、丈母婆、丈姆婆、丈姆娘
主要关系,w,老婆,老婆、妻子、媳妇、媳妇儿、媳妇子、太太、妻、女人、新娘、爱姥、妻亲、娘子、新娘子、夫人、婆娘、老太婆、内人、内子、内助、贤内助、爱妻、发妻、婆姨、婆子、老婆子、老婆儿、老婆仔、堂客、爱人、老伴、那口子、配偶、伴侣、伉俪、卿卿
主要关系,"w,ob",大舅子,大舅子、大舅哥、大舅佬、大阿舅、丈人兄、舅哥
主要关系,"w,ob,w",大舅妇,大舅妇、大妗子、大妗儿、大舅姆、大舅兄嫂、大舅嫂、大舅姐、大舅媳妇、丈人嫂
主要关系,"w,lb",小舅子,小舅子、小舅弟、小舅佬、小阿舅、丈人弟、舅弟
主要关系,"w,lb,w",小舅妇,小舅妇、小妗子、小妗儿、小舅姆、小舅弟妇、小舅嫂、舅弟媳、小舅妹、小舅媳妇
主要关系,"w,xb",舅子,舅子、舅佬、妻舅、老婆舅、阿舅、亲家舅、舅老倌
主要关系,"w,xb,w",舅嫂,舅嫂、舅妇、舅姆、妻妗、妗仔、妗子、妗儿
主要关系,"w,xb,s",舅侄,舅侄
主要关系,"w,xb,d",舅侄女,舅侄女
主要关系,"w,os",大姨子,大姨子、大姨姐、大姨儿、姨姐
